menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
낙지짬뽕|낙지,낙지짬뽕,낙지짬뽕,낙지,3,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 무안군,1
낙지초무침|낙지,낙지초무침,낙지초무침,낙지,2,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 무안군;전남 영암군,7
낙지칼국수|낙지,낙지칼국수,낙지칼국수,낙지,0,Y,N,해산물,식사,0.85,rule,1;9;10;11,전남 광양시,1
낙지코스|낙지,낙지코스,낙지코스,낙지,1,Y,Y,해산물,식사,0.85,manual,1;9;10;11,전남 무안군,1
낙지탕탕이|낙지,낙지탕탕이 등,낙지탕탕이,낙지,0,N,Y,해산물,식사,0.85,rule,1;9;10;11,광주 서구;전남 목포시;전남 신안군;전남 여수시;전남 영암군,11
낙지회무침|낙지,낙지회무침,낙지회무침,낙지,2,N,Y,해산물,식사,0.85,rule,1;9;10;11,전남 목포시,1
녹차꼬막비빔밥|꼬막,녹차꼬막비빔밥 등,녹차꼬막비빔밥,꼬막,2,N,N,해산물,식사,0.85,rule,2;11;12,전남 보성군,1
농어회|농어,농어회 등,농어회,농어,0,N,Y,해산물,식사,0.85,rule,5;7,전남 여수시,1
능이버섯만두|버섯만두,능이버섯만두,능이버섯만두,버섯만두,0,N,N,채소,식사,0.85,manual,10,전남 곡성군,1
다슬기메밀수제비|메밀,다슬기메밀수제비,다슬기메밀수제비,메밀,0,Y,N,해산물,식사,0.85,rule,8;11,전남 화순군,1
다슬기메밀수제비|메밀수제비,다슬기메밀수제비,다슬기메밀수제비,메밀수제비,0,Y,N,해산물,식사,0.85,rule,11,전남 화순군,1
다슬기장무침|기장,다슬기장무침,다슬기장무침,기장,2,N,N,해산물,식사,0.85,rule,4;5;9,전남 구례군,1
닭떡갈비|닭떡갈비,닭떡갈비,닭떡갈비,닭떡갈비,1,N,N,육류,식사,0.85,manual,6,전남 순천시,1
담양 죽순회|죽순,담양 죽순회 등,담양 죽순회,죽순,0,Y,N,채소,식사,0.85,rule,5,전남 담양군,1
"대통밥, 떡갈비, 죽순회|죽순","대통밥, 떡갈비, 죽순회","대통밥, 떡갈비, 죽순회",죽순,1,Y,N,육류;채소,식사,0.85,rule,5,전남 담양군,1
